date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,incidents,department_name
2020-06-29,-14.142857142857142,-4.285714285714286,93.85714285714286,-20.285714285714285,-30.285714285714285,7.142857142857143,-12.45308629156628,Asheville Fire Department (73930)
2020-07-06,-13.285714285714286,-1.7142857142857142,113.28571428571429,-20.857142857142858,-35.714285714285715,7.285714285714286,-9.670647949460262,Asheville Fire Department (73930)
2020-07-13,-13.285714285714286,-3.5714285714285716,96.71428571428571,-13.0,-31.857142857142858,7.285714285714286,-9.015876158733303,Asheville Fire Department (73930)
2020-07-20,-13.857142857142858,-3.5714285714285716,98.0,-14.142857142857142,-31.571428571428573,7.285714285714286,-11.03196776320263,Asheville Fire Department (73930)
2020-07-27,-14.0,-4.857142857142857,93.71428571428571,-16.857142857142858,-31.142857142857142,7.0,-18.468406010778892,Asheville Fire Department (73930)
2020-08-03,-13.142857142857142,-4.857142857142857,87.71428571428571,-19.0,-31.428571428571427,6.857142857142857,-11.826489663242565,Asheville Fire Department (73930)
2020-08-10,-12.714285714285714,-5.714285714285714,73.14285714285714,-17.0,-31.142857142857142,6.285714285714286,-10.597562420502772,Asheville Fire Department (73930)
2020-08-17,-13.0,-5.714285714285714,51.666666666666664,-22.166666666666668,-30.857142857142858,6.428571428571429,1.7663999635193026,Asheville Fire Department (73930)
2020-08-24,-15.714285714285714,-7.428571428571429,,,-29.0,6.714285714285714,-11.087785259011088,Asheville Fire Department (73930)
2020-08-31,-15.857142857142858,-6.714285714285714,,,-27.857142857142858,6.142857142857143,-3.7024751019268787,Asheville Fire Department (73930)
2020-09-07,-10.0,-2.7142857142857144,,,-32.857142857142854,5.714285714285714,-4.741422344671892,Asheville Fire Department (73930)
2020-09-14,-15.857142857142858,-5.428571428571429,32.75,-22.25,-26.571428571428573,5.0,-9.413200677028252,Asheville Fire Department (73930)
2020-09-21,-13.714285714285714,-4.714285714285714,38.42857142857143,-22.285714285714285,-25.0,5.285714285714286,0.2188370654058864,Asheville Fire Department (73930)
2020-09-28,-13.714285714285714,-4.0,28.571428571428573,-21.142857142857142,-24.0,6.0,-5.751613376654133,Asheville Fire Department (73930)
2020-10-05,-11.285714285714286,-1.7142857142857142,35.857142857142854,-20.714285714285715,-23.571428571428573,5.0,2.1859106004308866,Asheville Fire Department (73930)
2020-10-12,-11.714285714285714,-2.5714285714285716,36.142857142857146,-23.142857142857142,-24.0,6.285714285714286,0.4988723591457361,Asheville Fire Department (73930)
2020-10-19,-6.0,1.4285714285714286,63.285714285714285,-15.285714285714286,-22.571428571428573,5.142857142857143,-10.178280156361343,Asheville Fire Department (73930)
2020-10-26,-7.857142857142857,1.4285714285714286,56.0,-17.285714285714285,-22.285714285714285,5.142857142857143,-10.137856447179505,Asheville Fire Department (73930)
2020-11-02,-11.285714285714286,-0.5714285714285714,21.428571428571427,-21.142857142857142,-22.428571428571427,6.0,-8.69234982399113,Asheville Fire Department (73930)
2020-11-09,-12.285714285714286,-4.142857142857143,21.857142857142858,-21.428571428571427,-21.428571428571427,6.428571428571429,6.513429650687507,Asheville Fire Department (73930)
2020-11-16,-12.0,-3.857142857142857,9.0,-21.0,-22.285714285714285,7.142857142857143,7.056755160377375,Asheville Fire Department (73930)
